Dimension,Quartile,N,CATE_fare_mean,CATE_fare_pct,CATE_fare_std,CATE_pax_mean,CATE_pax_pct
HHI,G1 (Low),812,-0.0382208106804761,-3.749961294044013,0.0590007885726384,0.0694104297610368,7.187604871108211
HHI,G2,811,-0.0662568665997932,-6.410956557992953,0.0575994992480411,0.1195321925519615,12.696952350818336
HHI,G3,811,-0.0928733213758549,-8.869106365342638,0.0640555964603696,0.1751389803449727,19.141178792780305
HHI,G4 (High),811,-0.1372755879026489,-12.827004520422513,0.0670403345421187,0.2675502985082841,30.67593562294091
Distance,G1 (Short),812,-0.1777689304163249,-16.286416222865807,0.0567352710874348,0.3300339479700859,39.10153498097257
Distance,G2,811,-0.078249037507835,-7.526589561146513,0.0358065229964814,0.1642896020686385,17.855557780848173
Distance,G3,811,-0.0472754668281728,-4.617538564314916,0.0330140274743067,0.0787135651068189,8.189438538138273
Distance,G4 (Long),811,-0.0311610826082458,-3.0680580000805646,0.0463602331781435,0.0582734253324146,6.000478825176003
Passenger Density,G1 (Low),812,-0.1029463164514453,-9.782459584134653,0.0794734444118301,0.2330342819679655,26.242475699051337
Passenger Density,G2,811,-0.0741651237010158,-7.148163920602002,0.0761448209394833,0.1415128302126713,15.201528476709392
Passenger Density,G3,811,-0.0698885834206146,-6.750229017657572,0.0598642636001802,0.1240048349498106,13.20213442523277
Passenger Density,G4 (High),811,-0.0875467534841303,-8.382396377223756,0.0660537996431231,0.1328781983610766,14.211087888169782
